BANK,DATE OF ISSUE,CONTRACT NO ,LC NO,Country,ELITE PIC,CSR PIC
SCB,8-May,08/10911,176017020030,Bangladesh,THINHA,ANURAG
SCB,8-May,07/3856,17ILC0363,Nepal,THINHA,SURYA
SCB,8-May,02/5563,0176MDC170005951,India,THINHA,SANJEEV
CITI,8-May,08/10912,0000019517020029,Bangladesh,THINHA,ANURAG
BTMU,8-May,08/10902,0000168917060404,Bangladesh,THINHA,ANURAG
SCB,9-May,08/10906,304917020010,Bangladesh,THINHA,ANURAG
SCB,9-May,08/10907,304617020082,Bangladesh,THINHA,ANURAG
SCB,9-May,11/5516,DB1003LC1704496,Sri Lanka,THINHA,NAVDEEP
SCB,11-May,07/3857,17DC01USD15326,Nepal,THINHA,SURYA
BTMU,11-May,08/10915,154217010134,Bangladesh,THINHA,ANURAG
SCB,11-May,08/10908,100117230093,Bangladesh,THINHA,ANURAG
SCB,11-May,08/10909,100517020071,Bangladesh,THINHA,ANURAG
SCB,11-May,08/10910,100517020070,Bangladesh,THINHA,ANURAG
SCB,11-May,08/10904,DPCDAK776956,Bangladesh,THINHA,ANURAG
HSBC,11-May,13/1363,2342FLC015217,India,THINHA,NAVDEEP
SCB,11-May,07/3852,010LC1FU170037,Nepal,THINHA,SURYA
HSBC,11-May,08/10917,DPCDAK703558,Bangladesh,THINHA,ANURAG
SCB,8-May,13/1369,17DC01USD15337,Nepal,THINHA,NAVDEEP
SCB,12-May,07/3851,17DC01USD15328,Nepal,THINHA,SURYA
SCB,12-May,07/3855,HBLIFX13731495,Nepal,THINHA,SURYA
SCB,12-May,08/10903,174317020075,Bangladesh,THINHA,ANURAG
SCB,12-May,08/10916,43417020009,Bangladesh,THINHA,ANURAG
SCB,12-May,13/1370,019USD170322U,Nepal,THINHA,Navdeep
SCB,12-May,08/10918,0000181017010133,Nepal,THINHA,ANURAG
HSBC,9-May,03/0897,0415017IM0000062,India,THINHA,GAURAV
HSBC,9-May,02/5562,003LM01171290002,India,THINHA,SANJEEV
HSBC,11-May,06/248,30930NI00003717,India,THINHA,VIPIN
HSBC,11-May,15/0070,065/DC/01878/17,India,THINHA,SHEETAL
HSBC,11-May,15/0071,065/DC/01877/17,India,THINHA,SHEETAL
HSBC,11-May,06/247,30930NI00003617,India,THINHA,VIPIN
HSBC,11-May,03/0899,053417IML000020,India,THINHA,GAURAV
HSBC,11-May,01/8298,1097517IM0000009,India,THINHA,SANJEEV
HSBC,11-May,06/233,0174MDC170003979,India,THINHA,VIPIN
HSBC,12-May,11/0035,0042002170011268,Sri Lanka,THINHA,GAURAV
HSBC,12-May,13/1362,0153FLC170015,India,THINHA,NAVDEEP
HSBC,12-May,02/5560,5540604673,India,THINHA,SANJEEV
HSBC,12-May,02/5568,IMLC/2017/980026,India,THINHA,SANJEEV
HSBC,12-May,06/0235,6049FLCDA170015,India,THINHA,SANJEEV
HSBC,13-May,13/1378,003LC01171320027,India,THINHA,NAVDEEP
SCB,15-May,07/3858,HBLIFX12731485,Nepal,THINHA,SURYA
SCB,15-May,07/3861,18017LU00044,Bangladesh,THINHA,SURYA
SCB,15-May,07/3860,17DC01USD15327,Nepal,THINHA,SURYA
SCB,15-May,06/244,171010235973S,India,THINHA,VIPIN
SCB,15-May,01/8297,529010749169S,India,THINHA,SANJEEV
SCB,15-May,08/10932,174117020191,Bangladesh,THINHA,ANURAG
SCB,15-May,08/10913,215217010223,Bangladesh,THINHA,ANURAG
HSBC,12-May,03/0899,053417IML000021,India,THINHA,GAURAV
HSBC,13-May,02/5565,0067FLC170004,India,THINHA,SANJEEV
SCB,16-May,15/0073,171010235964-S,India,THINHA,VIPIN
SCB,16-May,07/3859,17DC14USD00109,Nepal,THINHA,SURYA
SCB,16-May,07/03872,LC21113773/74,Nepal,THINHA,SURYA
SCB,16-May,07/3865,HBLIFX14731521,Nepal,THINHA,SURYA
SCB,16-May,08/10930,160917010053,Bangladesh,THINHA,ANURAG
SCB,16-May,07/3871,L608617134,Nepal,THINHA,SURYA
SCB,16-May,07/3854,LC01113873/74,Nepal,THINHA,SURYA
SCB,16-May,08/10931,160917010054,Bangladesh,THINHA,ANURAG
SCB,16-May,08/10919,160717020134,Bangladesh,THINHA,ANURAG
SCB,16-May,08/10928,160717020134,Bangladesh,THINHA,ANURAG
HSBC,16-May,03/0900,0999817IM0039362,India,THINHA,GAURAV
HSBC,16-May,05/2184,2342FLC015717,India,THINHA,GAURAV
HSBC,16-May,06/233,0174MDC170004190,India,THINHA,VIPIN
HSBC,16-May,03/0906,7456MDC170004175,India,THINHA,GAURAV
BTMU,16-May,08/10921,0000021617010183,Bangladesh,THINHA,ANURAG
BTMU,16-May,08/10905,0000021617010182,Bangladesh,THINHA,ANURAG
SCB,17-May,08/10927,133617020075,Bangladesh,THINHA,ANURAG
HSBC,17-May,06/245,1165FLC170310,India,THINHA,VIPIN
SCB,17-May,08/10924,174317020076,Bangladesh,THINHA,ANURAG
SCB,17-May,11/5521,493011711185,Sri Lanka,THINHA,NAVDEEP
SCB,17-May,08/10935,174117020204,Bangladesh,THINHA,ANURAG
SCB,17-May,08/10923,1341/17/02/0035,Bangladesh,THINHA,ANURAG
HSBC,17-May,01/8304,0505017IM0000392,India,THINHA,SANJEEV
HSBC,17-May,01/8309,IMLC/2017/520156,India,THINHA,SANJEEV
HSBC,17-May,01/8303,0505017IM0000393,India,THINHA,SANJEEV
HSBC,17-May,06/234,009517IML000025,India,THINHA,SANJEEV
HSBC,17-May,06/249,30930NI00003917,India,THINHA,SANJEEV
HSBC,17-May,01/8302,001LM01171370004,India,THINHA,SANJEEV
HSBC,17-May,01/8317,001LM01171370006,India,THINHA,SANJEEV
SCB,17-May,07/3876,003ILUF171350001,Nepal,THINHA,SURYA
SCB,17-May,11/5517,DCU1700513751,Sri Lanka,THINHA,KUMAR
HSBC,17-May,06/246,1165FLC170311,India,THINHA,VIPIN
HSBC,17-May,06/240,0174MDC170004235,India,THINHA,VIPIN
SCB,11-May,08/10914,560217220032,Bangladesh,THINHA,ANURAG
SCB,14-May,08/10920,188517020006,Bangladesh,THINHA,ANURAG
SCB,15-May,07/3875,17DC05USD07335,Nepal,THINHA,SURYA
SCB,16-May,11/5522,LCSFCBU1700157,Sri Lanka,THINHA,NAVDEEP
SCB,16-May,07/3870,L16907421260,Nepal,THINHA,SURYA
SCB,16-May,08/10934,188517020007,Bangladesh,THINHA,ANURAG
BTMU,17-May,03/0895,0027817FLU000017,India,THINHA,GAURAV
SCB,15-May,01/8316,00031718FLU0026,India,THINHA,SANJEEV
SCB,17-May,07/3868,IUSDF1117USD0263,Nepal,THINHA,SURYA
SCB,17-May,02/5570,0207MDC170004232,India,THINHA,SANJEEV
SCB,18-May,08/10938,297917020026,Bangladesh,THINHA,ANURAG
SCB,18-May,07/3866,IUDSF6217USD0268,Nepal,THINHA,SURYA
SCB,18-May,08/10925,73117020039,Bangladesh,THINHA,ANURAG
HSBC,18-May,05/2181,DPCMDR321811,India,THINHA,GAURAV
SCB,18-May,11/5527,400211700087,Sri Lanka,THINHA,NAVDEEP
HSBC,16-May,06/240,0174MDC170004187,India,THINHA,VIPIN
CITI,17-May,08/10937,154617020050,Bangladesh,THINHA,ANURAG
CITI,17-May,08/10940,0000019517020032,Bangladesh,THINHA,ANURAG
CITI,17-May,08/10939,0000019517020033,Bangladesh,THINHA,ANURAG
HSBC,17-May,01/8299,0505417IM0000306,India,THINHA,SANJEEV
SCB,17-May,13/1379,9917IM0200103,Nepal,THINHA,NAVDEEP
HSBC,17-May,05/2182,7018817IM0000053,India,THINHA,GAURAV
HSBC,17-May,05/2188,7018817IM0000052,India,THINHA,GAURAV
HSBC,17-May,06/238,003LC01171360016,India,THINHA,VIPIN 
SCB,18-May,07/3853,IUDSFA117USD0264,Nepal,JENY,SURYA
HSBC,18-May,06/237,DPCNDH280512,India,THINHA,VIPIN 
SCB,19-May,03/0905,PV1IMLU171370001,India,THINHA,SHEETAL
SCB,19-May,05/2187,123DC0026717,India,THINHA,GAURAV
HSBC,19-May,13/1382,0312FLC6817,Nepal,THINHA,NAVDEEP
HSBC,19-May,06/243,0143FLC-007-17,India,THINHA,VIPIN
HSBC,19-May,02/5573,5548604684,Nepal,THINHA,SANJEEV
SCB,19-May,07/3880,NBL1780024U032,Nepal,THINHA,SURYA
SCB,19-May,11/5518,L07011700022,Sri Lanka,THINHA,NAVDEEP
SCB,19-May,07/3879,001LCIFU170313,Nepal,THINHA,SURYA
SCB,20-May,06/236,400617012,India,THINHA,VIPIN
SCB,21-May,08/10933,426010018345G,Bangladesh,THINHA,ANURAG
HSBC,12-May,02/5566,49580NI00018817,India,THINHA,SANJEEV
SCB,17-May,07/3867,17DC01USD15375,Nepal,THINHA,SURYA
SCB,17-May,06/242,827-01-0010721,India,THINHA,VIPIN
HSBC,18-May,11/5524,035IMLCU17000142,Sri Lanka,THINHA,NAVDEEP
HSBC,19-May,11/5531,039IMLCU17002106,India,JENY,NAVDEEP
HSBC,19-May,11/5523,DCU1702413817,Sri Lanka,THINHA,NAVDEEP
HSBC,19-May,11/5528,DB4901LC1704872,Sri Lanka,JENY,NAVDEEP
SCB,20-May,01/8321,001LM01171400013,India,THINHA,SANJEEV
SCB,21-May,08/10942,174117020211,Bangladesh,THINHA,ANURAG
SCB,22-May,13/1375,F01IMLU171350002,India,THINHA,NAVDEEP
SCB,22-May,08/10926,0000195017020023,Nepal,THINHA,ANURAG
HSBC,22-May,11/5530,401911732331,Sri Lanka,JENY,NAVDEEP
HSBC,22-May,06/257,0174MDC170004456,India,THINHA,VIPIN
SCB,22-May,08/10922,0000195017020022,Bangladesh,THINHA,ANURAG
SCB,22-May,15/0063,0559017IM0000009,India,THINHA,SHEETAL
SCB,22-May,13/1390,015USD73740665U,Nepal,THINHA,NAVDEEP
SCB,22-May,11/5525,DB4077LC1704772,Sri Lanka,THINHA,NAVDEEP
SCB,22-May,11/5526,004D76217050056,Sri Lanka,THINHA,NAVDEEP
SCB,21-May,07/3878,19517LU00020,Nepal,THINHA,SURYA
SCB,22-May,08/10941,1336/17/02/0082,Bangladesh,THINHA,ANURAG
SCB,22-May,08/10945,22171701499,Bangladesh,THINHA,ANURAG
HSBC,22-May,15/0067,0753617IMO0012044,India,THINHA,SHEETAL
HSBC,23-May,11/5533,052IMLCU17002150,Sri Lanka,THINHA,NAVDEEP
SCB,23-May,11/5529,DCU1700513827,Sri Lanka,THINHA,NAVDEEP
CITI,17-May,15/0064,50570NI00008417,India,THINHA,SHEETAL
SCB,18-May,08/10929,134117020038,Bangladesh,THINHA,ANURAG
SCB,24-May,07/3864,2217IM0200051,Nepal,THINHA,SURYA
SCB,24-May,02/5571,TX3IMLU171320001,India,THINHA,SANJEEV
SCB,24-May,08/10946,0000194717020067,Bangladesh,THINHA,ANURAG
SCB,24-May,07/3869,HBLIFX01731564,Nepal,THINHA,SURYA
SCB,25-May,09/306,220FLC00003017,Bhutan,THINHA,GAURAV
HSBC,16-May,11/5520,0042002170011623,Sri Lanka,THINHA,NAVDEEP
SCB,15-May,05/2183,0505617IM0075286,India,THINHA,GAURAV
SCB,18-May,07/3873,EB0370FOU00115,Nepal,THINHA,SURYA
SCB,22-May,07/3877,008ILUF171420001,Nepal,THINHA,SURYA
SCB,23-May,08/10943,296417020038,Bangladesh,THINHA,ANURAG
SCB,24-May,01/8327,529010751271,India,THINHA,SANJEEV
HSBC,24-May,01/8315,0505017IM0000431,India,THINHA,SANJEEV
HSBC,25-May,06/239,003LC01171450006,India,THINHA,VIPIN
HSBC,25-May,01/8313,0505017IM0000432,India,THINHA,SANJEEV
HSBC,25-May,01/8314,0505017IM0000433,India,THINHA,SANJEEV
SCB,25-May,07/3883,010LCIFU170040,Nepal,THINHA,SURYA 
HSBC,26-May,02/5575,0040FLC170024,India,THINHA,SANJEEV
SCB,26-May,09/0307,CPBDLC30,Bhutan,THINHA,GAURAV
SCB,26-May,07/3884,17ILC0416,Nepal,THINHA,SURYA
HSBC,26-May,13/1392,004LC01171440012,India,THINHA,NAVDEEP
HSBC,26-May,01/8328,OLC0017170004345,India,THINHA,SANJEEV
BTMU,26-May,03/0907,0027817FLU000019,India,THINHA,GAURAV
SCB,28-May,07/3887,17DC07USD09607,Nepal,THINHA,SURYA
SCB,28-May,07/3882,17ILC0418,Nepal,THINHA,SURYA
HSBC,25-May,01/8329,0505017IM0000434,India,THINHA,SANJEEV
HSBC,29-May,13/1395,4335MDC170004682,India,THINHA,NAVDEEP
HSBC,29-May,03/0909,0999817IM0039401,India,THINHA,GAURAV
HSBC,29-May,06/254,1165FLC170347,India,THINHA,VIPIN
SCB,29-May,05/2190,LC/114/3461807,India,THINHA,GAURAV
HSBC,30-May,11/5519,003IMLCU17001094,Sri Lanka,THINHA,NAVDEEP
SCB,23-May,08/10944,296417020040,Bangladesh,THINHA,ANURAG
HSBC,24-May,13/1385,DCU1700513828,Sri Lanka,JENY,NAVDEEP
HSBC,24-May,06/258,0154MLC00001018,India,THINHA,VIPIN
SCB,30-May,07/3886,HBLIFX03731598,Nepal,THINHA,SURYA
SCB,30-May,01/8330,001LM01171500022,India,THINHA,SANJEEV
SCB,30-May,07/3888,HBLIFX13731591,Nepal,THINHA,SURYA
SCB,28-May,07/3885,17DC01USD15408,Nepal,THINHA,SURYA
SCB,30-May,13/1400,4615MDC170004721,India,THINHA,NAVDEEP
HSBC,31-May,11/5535,BTD/M084815,Sri Lanka,THINHA,NAVDEEP
HSBC,31-May,11/5539,493011711354,Sri Lanka,THINHA,NAVDEEP
SCB,29-May,03/0896,038917FLCU0005,India,THINHA,GAURAV
HSBC,3-Jun,03/0913,0415017IM0000075,India,THINHA,GAURAV
HSBC,19-May,03/0894,828-01-0015789,India,THINHA,GAURAV
HSBC,5-Jun,11/5537,TF1715601008,Sri Lanka,JENY,NAVDEEP
SCB,5-Jun,08/10936,411010644727,Bangladesh,JENY,ANURAG
SCB,5-Jun,08/10964,167417010084,Bangladesh,THINHA,ANURAG
SCB,5-Jun,08/10949,100517020088,Bangladesh,THINHA,ANURAG
SCB,5-Jun,08/10948,100517020087,Bangladesh,THINHA,ANURAG
SCB,2-Jun,06/231,TX3IMLU171430001,India,THINHA,SANJEEV
SCB,6-Jun,13/1404,9917IMO0200118,Nepal,THINHA,NAVDEEP
SCB,7-Jun,08/10975,0000181017010167,Bangladesh,THINHA,ANURAG
SCB,6-Jun,13/1406,TP6IMLU171560001,India,THINHA,NAVDEEP
SCB,5-Jun,07/3889,010LCIFU17-0045,Nepal,THINHA,SURYA
HSBC,6-Jun,03/0917,469LC01171540003,India,THINHA,GAURAV
HSBC,6-Jun,13/1403,1636FLC170161,India,THINHA,NAVDEEP
HSBC,29-May,13/1372,0097IMPLC0002817,India,JENY,NAVDEEP
SCB,7-Jun,08/10996,222017010295,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10978,174117010392,Bangladesh,THINHA,ANURAG
SCB,5-Jun,08/10965,188517020008,Bangladesh,THINHA,ANURAG
HSBC,6-Jun,11/5538,DB1003LC1705377,Sri Lanka,THINHA,NAVDEEP
BTMU,6-Jun,08/10984,86817020022,Bangladesh,THINHA,ANURAG
BTMU,6-Jun,08/10983,86817020023,Bangladesh,JENY,ANURAG
HSBC,6-Jun,05/2189,7018817IM0000057,India,THINHA,GAURAV
BTMU,8-Jun,08/11007,154217020044,Bangladesh,JENY,ANURAG
BTMU,7-Jun,08/11013,154217020045,Bangladesh,THINHA,ANURAG
BTMU,7-Jun,08/11014,154217020046,Bangladesh,THINHA,ANURAG
BTMU,7-Jun,08/11009,154217020047,Bangladesh,THINHA,ANURAG
BTMU,7-Jun,08/11008,154217020048,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11018,154217020049,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11019,154217020050,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11020,154217020051,Bangladesh,THINHA,ANURAG
BTMU,8-Jun,08/11022,154217020052,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10954,0000208617020016,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10953,0000208617020017,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10997,222017010296,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10996,222017010295,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10979,174117010393,Bangladesh,THINHA,ANURAG
SCB,7-Jun,07/3881,HBKIFX01731649,Nepal,THINHA,SURYA
SCB,7-Jun,08/10977,209817020002,Bangladesh,THINHA,ANURAG
SCB,7-Jun,08/10990,304617020089,Bangladesh,JENY,ANURAG
